col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	9	46	0.032	0.18	29.0	0.0	0.032	0.032
3	9	43	0.0	0.0	nan	nan	0.0	0.0
3	9	40	0.0	0.0	nan	nan	0.0	0.0
3	9	37	0.0	0.0	nan	nan	0.0	0.0
3	9	34	0.0	0.0	nan	nan	0.0	0.0
3	9	31	0.0	0.0	nan	nan	0.0	0.0
3	9	28	0.0	0.0	nan	nan	0.0	0.0
3	10	100	4.935	0.25	11.742	0.445	1.0	1.0
3	10	97	4.935	0.25	11.742	0.445	1.0	1.0
3	10	94	4.903	0.301	12.0	0.0	1.0	1.0
3	10	91	4.323	0.475	12.032	0.18	1.0	1.0
3	10	88	4.129	0.341	12.355	0.486	1.0	1.0
3	10	85	3.968	0.18	12.452	0.624	1.0	1.0
3	10	82	4.0	0.0	12.903	0.396	1.0	1.0
3	10	79	3.935	0.25	13.161	0.523	1.0	1.0
3	10	76	3.968	0.18	13.806	0.477	1.0	1.0
3	10	73	3.839	0.374	13.968	0.407	1.0	1.0
3	10	70	3.419	0.564	14.806	1.327	1.0	1.0
3	10	67	3.226	0.425	15.29	0.529	1.0	1.0
3	10	64	3.0	0.258	16.0	0.775	1.0	1.0
3	10	61	3.0	0.0	16.968	0.836	1.0	1.0
3	10	58	2.484	0.57	18.419	1.501	1.0	1.0
3	10	55	2.032	0.315	20.839	2.282	1.0	1.0
3	10	52	1.645	0.551	24.233	3.329	0.968	0.968
3	10	49	1.111	0.801	28.44	6.063	0.677	0.806
3	10	46	0.067	0.254	31.667	4.726	0.065	0.097
3	10	43	0.0	0.0	nan	nan	0.0	0.0
3	10	40	0.0	0.0	nan	nan	0.0	0.0
3	10	37	0.0	0.0	nan	nan	0.0	0.0
3	10	34	0.0	0.0	nan	nan	0.0	0.0
3	10	31	0.0	0.0	nan	nan	0.0	0.0
3	10	28	0.0	0.0	nan	nan	0.0	0.0
3	11	100	5.0	0.0	11.613	0.495	1.0	1.0
3	11	97	4.903	0.301	11.935	0.25	1.0	1.0
3	11	94	4.806	0.402	11.968	0.18	1.0	1.0
3	11	91	4.516	0.508	12.097	0.301	1.0	1.0
3	11	88	4.161	0.374	12.129	0.341	1.0	1.0
3	11	85	4.0	0.0	12.71	0.461	1.0	1.0
3	11	82	4.0	0.0	12.903	0.746	1.0	1.0
3	11	79	4.0	0.0	13.129	0.341	1.0	1.0
3	11	76	4.0	0.0	13.29	0.643	1.0	1.0
3	11	73	3.806	0.402	13.871	0.562	1.0	1.0
3	11	70	3.613	0.495	14.613	0.558	1.0	1.0
3	11	67	3.065	0.25	15.0	0.73	1.0	1.0
3	11	64	3.0	0.0	15.71	1.006	1.0	1.0
3	11	61	2.871	0.341	17.032	1.016	1.0	1.0
3	11	58	2.645	0.486	18.097	0.978	1.0	1.0
3	11	55	2.0	0.365	20.355	2.288	1.0	1.0
3	11	52	1.677	0.475	24.194	3.135	1.0	1.0
3	11	49	0.852	0.818	29.85	7.659	0.516	0.645
3	11	46	0.0	0.0	nan	nan	0.0	0.0
3	11	43	0.0	0.0	nan	nan	0.0	0.0
3	11	40	0.0	0.0	nan	nan	0.0	0.0
3	11	37	0.0	0.0	nan	nan	0.0	0.0
3	11	34	0.0	0.0	nan	nan	0.0	0.0
3	11	31	0.0	0.0	nan	nan	0.0	0.0
3	11	28	0.0	0.0	nan	nan	0.0	0.0
3	12	100	5.0	0.0	11.645	0.486	1.0	1.0
3	12	97	5.0	0.0	11.935	0.359	1.0	1.0
3	12	94	4.774	0.425	12.0	0.0	1.0	1.0
3	12	91	4.452	0.506	12.032	0.315	1.0	1.0
3	12	88	4.097	0.301	12.29	0.529	1.0	1.0
3	12	85	4.097	0.301	12.516	0.57	1.0	1.0
3	12	82	4.0	0.0	12.806	0.402	1.0	1.0
3	12	79	4.0	0.0	13.161	0.374	1.0	1.0
3	12	76	4.0	0.258	13.613	0.558	1.0	1.0
3	12	73	3.774	0.425	13.968	0.657	1.0	1.0
3	12	70	3.419	0.502	14.516	0.677	1.0	1.0
3	12	67	3.097	0.301	15.387	0.667	1.0	1.0
3	12	64	3.0	0.0	16.161	0.735	1.0	1.0
3	12	61	2.935	0.359	16.839	1.068	1.0	1.0
3	12	58	2.452	0.506	18.29	0.973	1.0	1.0
3	12	55	2.097	0.473	20.032	1.816	1.0	1.0
3	12	52	1.742	0.514	23.367	2.646	0.968	0.968
3	12	49	1.033	0.809	27.636	4.962	0.677	0.71
3	12	46	0.0	0.0	25.0	0.0	0.0	0.032
3	12	43	0.0	0.0	nan	nan	0.0	0.0
3	12	40	0.0	0.0	nan	nan	0.0	0.0
3	12	37	0.0	0.0	nan	nan	0.0	0.0
3	12	34	0.0	0.0	nan	nan	0.0	0.0
3	12	31	0.0	0.0	nan	nan	0.0	0.0
3	12	28	0.0	0.0	nan	nan	0.0	0.0
4	3	100	5.0	0.0	11.581	0.502	1.0	1.0
4	3	97	4.903	0.301	11.871	0.428	1.0	1.0
4	3	94	4.774	0.425	11.968	0.18	1.0	1.0
4	3	91	4.452	0.506	12.065	0.359	1.0	1.0
4	3	88	4.129	0.341	12.258	0.445	1.0	1.0
4	3	85	4.0	0.0	12.419	0.564	1.0	1.0
4	3	82	3.968	0.18	12.935	0.574	1.0	1.0
4	3	79	4.0	0.0	13.065	0.442	1.0	1.0
4	3	76	3.968	0.18	13.548	0.506	1.0	1.0
4	3	73	3.774	0.425	13.871	0.67	1.0	1.0
4	3	70	3.613	0.495	14.581	0.72	1.0	1.0
