row,col,metric,n_points,threshold,dispersion,success
4,6,efficiency_toa,20,63.30236435658343,1.511436652300445,True
4,7,efficiency_toa,20,64.3564746902943,1.7704822084835794,True
5,0,efficiency_toa,20,66.30390968775538,1.2644315920616531,True
5,1,efficiency_toa,20,66.50013761258911,1.3411110686797967,True
5,2,efficiency_toa,20,65.70141260108076,1.503582021083957,True
5,3,efficiency_toa,20,68.291214810524,1.9536383855257626,True
5,4,efficiency_toa,20,65.40047566908791,1.4139457568917626,True
5,5,efficiency_toa,20,66.31017132968302,1.2462685713304815,True
5,6,efficiency_toa,20,66.27821123478651,2.020539033801994,True
5,7,efficiency_toa,20,65.18631076993695,1.1978539884642603,True
6,0,efficiency_toa,20,63.75193071895712,0.6671109802921679,True
6,1,efficiency_toa,20,63.65533498889409,1.2376709459419493,True
6,2,efficiency_toa,20,65.2826113189014,2.1919770813549824,True
6,3,efficiency_toa,20,64.4322536052072,1.8466092859579677,True
6,4,efficiency_toa,20,65.297040561613,2.4971610233968655,True
6,5,efficiency_toa,20,65.28293557842619,1.1342557274843925,True
6,6,efficiency_toa,20,63.85150698108847,1.3026817703138844,True
6,7,efficiency_toa,20,65.38922639240677,2.318155422984034,True
7,0,efficiency_toa,20,63.57234263348762,0.7728193885451832,True
7,1,efficiency_toa,20,63.97162299023576,0.7073596048748816,True
7,2,efficiency_toa,20,66.56696355358581,1.95002202395766,True
7,3,efficiency_toa,20,64.35512205252431,1.7626525351845084,True
7,4,efficiency_toa,20,66.48846199985641,2.0263778880179872,True
7,5,efficiency_toa,20,67.02805406365458,0.6993094376241049,True
7,6,efficiency_toa,20,65.65064602283036,0.8911910011095429,True
7,7,efficiency_toa,20,65.39337509950319,2.0832965062871818,True
8,0,efficiency_toa,20,64.46257489114659,1.8129416975981156,True
8,1,efficiency_toa,20,63.88259896823344,2.145269336280108,True
8,2,efficiency_toa,20,64.80263908434326,1.4479678942815803,True
8,3,efficiency_toa,20,64.69763564254842,1.5114366708354166,True
8,4,efficiency_toa,20,66.36415299474535,1.9792293150036995,True
8,5,efficiency_toa,20,66.47941399405926,1.5549996745683485,True
8,6,efficiency_toa,20,65.49999999999996,1.1548787634759163,True
8,7,efficiency_toa,20,62.7171667682723,1.1341144526252338,True
9,0,efficiency_toa,20,64.51071062404527,1.3972779809782916,True
9,1,efficiency_toa,20,67.69964693263532,1.5516006711125527,True
9,2,efficiency_toa,20,63.89693673402917,1.7447442627804957,True
9,3,efficiency_toa,20,66.30390968775538,1.2644315920616531,True
9,4,efficiency_toa,20,66.04628891497545,1.1047873636476215,True
9,5,efficiency_toa,20,65.18300579028146,2.3483128813761454,True
9,6,efficiency_toa,20,65.29787006114391,1.3104634176614103,True
9,7,efficiency_toa,20,64.63584799929113,1.9792262321263645,True
10,0,efficiency_toa,20,65.09209867177721,2.247334983857546,True
10,1,efficiency_toa,20,65.39726088946853,1.616626100134626,True
10,2,efficiency_toa,20,66.07853983525898,2.1631771389307963,True
10,3,efficiency_toa,20,61.90046611430744,1.3855906393434192,True
10,4,efficiency_toa,20,66.51041509903298,0.8851559522905603,True
10,5,efficiency_toa,20,62.61010342737132,1.6435857928615087,True
10,6,efficiency_toa,20,66.95581045662713,1.3783813767779833,True
10,7,efficiency_toa,20,67.69763565503328,1.5114368006009433,True
11,0,efficiency_toa,20,65.40160050828118,1.4166497990028801,True
11,1,efficiency_toa,20,64.0982695085584,1.8154324960445993,True
11,2,efficiency_toa,20,66.0044251368435,1.323545923962628,True
11,3,efficiency_toa,20,65.937298025803,2.1533180523670956,True
11,4,efficiency_toa,20,67.06608820280492,1.977258180867038,True
11,5,efficiency_toa,20,66.93391180196579,1.977258171190485,True
11,6,efficiency_toa,20,65.39337509950319,2.0832965062871818,True
11,7,efficiency_toa,20,66.52391398169604,1.703505048207567,True
12,0,efficiency_toa,20,65.18300579028146,2.3483128813761454,True
