row,col,tdac_code,tup,mu,sigma
3,7,24,0,41.8,1.45
3,7,31,0,34.99,1.76
4,0,0,1,54.7,1.98
4,0,8,1,64.1,1.68
4,0,16,1,75.52,1.62
4,0,24,1,88.11,1.64
4,0,31,1,97.0,1.33
4,0,0,0,55.6,1.84
4,0,8,0,46.46,1.9
4,0,16,0,35.0,1.33
4,0,24,0,24.28,2.19
4,0,31,0,-147.21,36.62
4,1,0,1,42.7,1.5
4,1,8,1,48.9,1.61
4,1,16,1,55.18,1.43
4,1,24,1,62.36,1.65
4,1,31,1,67.72,1.13
4,1,0,0,44.5,1.34
4,1,8,0,37.0,1.54
4,1,16,0,30.78,1.74
4,1,24,0,23.24,1.2
4,1,31,0,-147.21,36.62
4,2,0,1,47.02,1.98
4,2,8,1,52.81,1.2
4,2,16,1,59.28,1.13
4,2,24,1,66.4,1.42
4,2,31,1,71.93,1.42
4,2,0,0,49.6,1.41
4,2,8,0,43.97,0.71
4,2,16,0,37.2,1.62
4,2,24,0,29.86,1.91
4,2,31,0,21.34,2.21
4,3,0,1,52.52,2.14
4,3,8,1,59.52,1.62
4,3,16,1,69.13,1.15
4,3,24,1,78.5,1.16
4,3,31,1,86.7,1.54
4,3,0,0,54.16,1.76
4,3,8,0,45.4,1.84
4,3,16,0,35.65,0.63
4,3,24,0,26.52,1.47
4,3,31,0,-147.21,36.62
4,4,0,1,41.4,1.38
4,4,8,1,45.8,1.45
4,4,16,1,53.5,1.51
4,4,24,1,60.3,1.72
4,4,31,1,66.36,1.65
4,4,0,0,42.51,1.4
4,4,8,0,36.2,1.39
4,4,16,0,28.4,1.23
4,4,24,0,21.81,1.2
4,4,31,0,-147.21,36.62
4,5,0,1,49.6,0.62
4,5,8,1,56.0,1.33
4,5,16,1,64.52,2.01
4,5,24,1,73.22,1.74
4,5,31,1,80.06,2.23
4,5,0,0,51.43,1.85
4,5,8,0,43.21,1.69
4,5,16,0,34.7,1.5
4,5,24,0,26.2,1.95
4,5,31,0,-17.48,16.75
4,6,0,1,48.08,1.91
4,6,8,1,55.19,1.2
4,6,16,1,61.23,1.81
4,6,24,1,68.51,2.02
4,6,31,1,74.84,1.76
4,6,0,0,50.52,1.62
4,6,8,0,43.22,1.2
4,6,16,0,35.54,0.61
4,6,24,0,27.95,1.06
4,6,31,0,20.6,1.62
4,7,0,1,57.2,1.83
4,7,8,1,64.19,1.82
4,7,16,1,72.41,1.63
4,7,24,1,81.28,1.13
4,7,31,1,87.82,2.3
4,7,0,0,60.77,1.8
4,7,8,0,52.02,1.81
4,7,16,0,42.8,1.45
4,7,24,0,33.9,1.68
4,7,31,0,26.19,1.82
5,0,0,1,50.24,0.66
5,0,8,1,57.36,1.65
5,0,16,1,65.7,1.72
5,0,24,1,74.6,1.3
5,0,31,1,82.4,1.62
5,0,0,0,51.3,1.87
5,0,8,0,44.9,1.62
5,0,16,0,35.65,0.63
5,0,24,0,27.1,1.68
5,0,31,0,5.17,4.92
5,1,0,1,68.54,2.32
5,1,8,1,75.25,2.05
5,1,16,1,84.98,1.62
5,1,24,1,92.7,1.26
5,1,31,1,100.84,2.44
5,1,0,0,70.0,1.54
5,1,8,0,62.07,1.42
5,1,16,0,53.82,1.59
5,1,24,0,45.2,1.39
5,1,31,0,37.02,2.0
5,2,0,1,57.72,1.13
5,2,8,1,62.86,0.69
5,2,16,1,69.36,0.57
5,2,24,1,75.93,1.96
5,2,31,1,81.83,2.2
5,2,0,0,59.0,1.33
5,2,8,0,53.08,0.69
5,2,16,0,46.4,1.23
5,2,24,0,38.6,1.3
5,2,31,0,32.2,1.83
5,3,0,1,65.17,1.86
5,3,8,1,71.57,1.95
5,3,16,1,79.6,1.3
5,3,24,1,88.3,1.29
5,3,31,1,95.24,1.92
5,3,0,0,66.94,2.23
5,3,8,0,60.26,2.26
5,3,16,0,51.8,2.5
5,3,24,0,43.69,2.34
5,3,31,0,36.01,1.76
5,4,0,1,47.99,1.76
5,4,8,1,55.8,1.39
5,4,16,1,63.7,0.66
5,4,24,1,71.9,1.4
5,4,31,1,78.25,2.15
5,4,0,0,50.1,1.39
5,4,8,0,41.95,1.1
5,4,16,0,33.16,2.37
