row,col,delta_tup1,delta_tup0
16,5,35.972282587289016,-38.421784063668206
16,6,26.45747868086147,-186.22236194820698
16,7,27.496681296081327,-29.83766441627764
17,0,26.139724496754233,-34.97908551818783
17,1,25.855117500316425,-26.831963766487352
17,2,26.61727327745637,-29.3561453877087
17,3,25.362988880984673,-27.633182558803313
17,4,33.68348562067805,-201.23391467404267
17,5,23.994476555964773,-186.49965488685132
17,6,22.048291389235814,-25.464850773529214
17,7,24.033206483535935,-29.056217208165993
18,0,35.6618558821403,-199.70554712173737
18,1,32.54661208515503,-34.278275282413674
18,2,31.42845443826974,-32.847907407597056
18,3,30.653484111831517,-33.2054145788443
18,4,30.08531667679984,-194.8558413761139
18,5,31.459707758619842,-34.13770161067386
18,6,29.094968682666526,-31.244764242304633
18,7,37.17276422058209,-39.14260827886552
19,0,27.1708749127394,-186.27311612794375
19,1,26.8996000812066,-30.168639160436182
19,2,20.892277969034126,-22.93923679895606
19,3,32.34196463163798,-32.58546398277781
19,4,25.478061017637557,-193.16901889078088
19,5,31.742850563397425,-32.42770405138125
19,6,29.184902765724942,-37.20161658453402
19,7,29.63229897348205,-30.18339853522034
20,0,29.55739373877428,-194.4493018430091
20,1,25.17346466309396,-27.21135281477385
20,2,26.77090488289093,-29.333911212898506
20,3,26.143174146443037,-29.477725789899978
20,4,23.307238812866288,-27.560223944431343
20,5,27.786966814195154,-29.08267632459121
20,6,20.603059917393374,-24.16160669790711
20,7,28.286036006884203,-29.893960601973884
21,0,29.85606315096264,-30.337259513765154
21,1,32.73982358509927,-34.26189041950548
21,2,29.565476947476014,-32.96153072802974
21,3,25.037864988208433,-30.300643838771194
21,4,29.98648743359019,-30.67099964338584
21,5,26.09997116076618,-37.80642956266578
21,6,32.39000059699336,-201.60791234725156
21,7,30.801633012183643,-32.693982853766414
22,0,26.963425923939297,-189.796417329401
22,1,24.69513095075564,-25.71927445709007
22,2,30.498754475792524,-31.00207072510476
22,3,24.62546854409303,-27.518051482282686
22,4,22.22812873594208,-24.99092624530037
22,5,24.599546683496527,-27.897750212386654
22,6,32.81524056010302,-32.36186129758464
22,7,23.884525877098774,-25.69833499558771
23,0,30.144641060552047,-32.72384246339924
23,1,34.10014366659857,-36.56984623977487
23,2,30.56482423828335,-33.44230732826736
23,3,27.74672755562137,-192.45078915084972
23,4,28.778227127919074,-31.312818977281626
23,5,25.6259708789267,-29.431168051391857
23,6,32.65564933622162,-43.46286200766646
23,7,25.62460612814982,-26.636809522145512
24,0,27.81147702722739,-29.154978095722672
24,1,26.29096217001606,-29.120840278319278
24,2,27.96007878410257,-28.352930275907752
24,3,30.633119821444673,-31.692880819173332
24,4,23.924094466676685,-27.324752484749787
24,5,29.409598003507966,-32.32480457808477
24,6,28.164089809321716,-40.14828096016922
24,7,23.54473105308366,-25.7279753505931
25,0,27.681698257993688,-184.90767706045838
25,1,29.445705192956382,-32.473831157568334
25,2,24.18212470205072,-24.362245239620183
25,3,33.172672549138866,-33.31768969689627
25,4,33.61956707017734,-195.61770599427638
25,5,32.13626207219169,-35.72338156419749
25,6,23.837413904044688,-26.63018362971228
25,7,31.91785994405597,-43.083670986127565
26,0,29.62830649135052,-32.492238023952495
26,1,30.498279543117164,-32.0090275341593
26,2,38.80264885046232,-195.98823192543068
26,3,33.10290239084204,-34.96568082502145
26,4,37.59159151677857,-200.41253684834007
26,5,34.45360637741816,-34.67142818408422
26,6,25.248002717590232,-28.84989662414883
26,7,27.269761483819103,-29.595974782954045
27,0,25.936342273902845,-31.156868103339157
27,1,32.8523302361905,-193.92671902552158
27,2,28.952778600049065,-32.57275989853105
27,3,27.387216933702547,-30.499371889352513
27,4,23.46434212635402,-27.59163643895509
27,5,25.805139499966316,-28.795464398987676
27,6,21.794809650588007,-25.547179830725426
27,7,29.06688123003999,-195.7054095081156
28,0,33.47917158610508,-36.81309239543168
28,1,30.73643414110102,-33.369206842518224
28,2,31.931978018241253,-38.450530472310035
28,3,23.982379569378523,-25.088211965121012
28,4,23.593077165023587,-28.900475669076084
28,5,22.315725447659673,-24.154109625065665
28,6,29.15927550567727,-29.2003532446195
28,7,30.312496772517527,-31.511516911234725
29,0,25.08450667707362,-28.546580699096864
29,1,22.308558727607682,-24.456379879898467
29,2,19.806390698338113,-22.962149380691717
29,3,23.714959571866586,-25.93155081863299
29,4,41.65096633654179,-40.59541085588802
29,5,31.095473819030538,-198.98823201579273
29,6,33.176363234424684,-191.84621285615177
29,7,26.75930042963344,-28.70677638912335
30,0,32.66465208089175,-35.44612740540947
30,1,25.86377621718168,-28.124161795663273
30,2,31.432244391662394,-37.000454172548686
30,3,33.970152510523846,-35.05706297844342
30,4,24.80493427956386,-25.92732443750344
30,5,31.76814909642583,-31.857644894477453
30,6,34.38579231735772,-199.59892221126532
30,7,21.889036444010827,-25.474464333317364
31,0,29.156676155204067,-29.23507954450885
31,1,35.08757497695018,-201.11662910943585
31,2,27.001959513110087,-28.720231682601728
31,3,26.83377145906818,-28.62947066294649
31,4,33.182067035789224,-32.54133543839507
31,5,27.528059189599524,-29.474543260732734
31,6,20.668730350158064,-22.362869637125076
31,7,25.618105554217017,-27.339764056668553
