row,col,voltage,tot_avg,tot_std,toa_avg,toa_std,efficiency_tot,efficiency_toa,tup,tdac_code
14,0,51,0.0,0.0,,,0.0,0.0,0,0
14,0,48,0.0,0.0,,,0.0,0.0,0,0
14,0,45,0.0,0.0,,,0.0,0.0,0,0
14,0,42,0.0,0.0,,,0.0,0.0,0,0
14,0,39,0.0,0.0,,,0.0,0.0,0,0
14,0,36,0.0,0.0,,,0.0,0.0,0,0
14,0,33,0.0,0.0,,,0.0,0.0,0,0
14,0,30,0.0,0.0,,,0.0,0.0,0,0
15,0,87,2.452,0.506,18.258,0.575,1.0,1.0,0,0
15,0,84,2.194,0.402,18.871,0.763,1.0,1.0,0,0
15,0,81,1.968,0.18,19.968,0.983,1.0,1.0,0,0
15,0,78,1.71,0.461,20.387,1.022,1.0,1.0,0,0
15,0,75,1.484,0.508,21.548,1.15,1.0,1.0,0,0
15,0,72,1.226,0.425,22.71,1.51,1.0,1.0,0,0
15,0,69,1.065,0.25,24.581,2.5,1.0,1.0,0,0
15,0,66,0.852,0.362,27.852,3.718,0.742,0.871,0,0
15,0,63,0.161,0.374,28.0,1.871,0.161,0.161,0,0
15,0,60,0.0,0.0,,,0.0,0.0,0,0
15,0,57,0.0,0.0,,,0.0,0.0,0,0
15,0,54,0.0,0.0,,,0.0,0.0,0,0
15,0,51,0.0,0.0,,,0.0,0.0,0,0
15,0,48,0.0,0.0,,,0.0,0.0,0,0
15,0,45,0.0,0.0,,,0.0,0.0,0,0
15,0,42,0.0,0.0,,,0.0,0.0,0,0
15,0,39,0.0,0.0,,,0.0,0.0,0,0
15,0,36,0.0,0.0,,,0.0,0.0,0,0
15,0,33,0.0,0.0,,,0.0,0.0,0,0
15,0,30,0.0,0.0,,,0.0,0.0,0,0
16,0,87,5.0,0.0,15.613,0.495,1.0,1.0,0,0
16,0,84,4.871,0.341,15.935,0.442,1.0,1.0,0,0
16,0,81,4.581,0.502,16.161,0.454,1.0,1.0,0,0
16,0,78,4.194,0.402,16.806,0.601,1.0,1.0,0,0
16,0,75,4.0,0.0,17.161,0.735,1.0,1.0,0,0
16,0,72,3.613,0.495,17.903,0.908,1.0,1.0,0,0
16,0,69,3.258,0.445,18.516,0.626,1.0,1.0,0,0
16,0,66,3.194,0.402,18.903,1.446,1.0,1.0,0,0
16,0,63,2.839,0.374,20.548,1.121,1.0,1.0,0,0
16,0,60,2.29,0.461,21.613,1.086,1.0,1.0,0,0
16,0,57,2.065,0.25,23.419,1.361,1.0,1.0,0,0
16,0,54,1.968,0.18,25.806,2.688,1.0,1.0,0,0
16,0,51,1.806,0.402,30.516,4.024,1.0,1.0,0,0
16,0,48,1.167,0.747,35.04,4.257,0.774,0.806,0,0
16,0,45,0.069,0.258,39.25,3.096,0.065,0.129,0,0
16,0,42,0.0,0.0,,,0.0,0.0,0,0
16,0,39,0.0,0.0,,,0.0,0.0,0,0
16,0,36,0.0,0.0,,,0.0,0.0,0,0
16,0,33,0.0,0.0,,,0.0,0.0,0,0
16,0,30,0.0,0.0,,,0.0,0.0,0,0
17,0,87,5.0,0.0,15.032,0.547,1.0,1.0,0,0
17,0,84,5.032,0.315,15.516,0.508,1.0,1.0,0,0
17,0,81,4.613,0.495,15.742,0.631,1.0,1.0,0,0
17,0,78,4.355,0.486,16.323,0.599,1.0,1.0,0,0
17,0,75,4.097,0.396,16.935,0.814,1.0,1.0,0,0
17,0,72,3.968,0.407,17.419,0.765,1.0,1.0,0,0
17,0,69,3.645,0.551,17.839,1.003,1.0,1.0,0,0
17,0,66,3.0,0.632,18.677,0.791,1.0,1.0,0,0
17,0,63,2.613,0.558,19.645,1.305,1.0,1.0,0,0
17,0,60,2.097,0.396,20.548,1.338,1.0,1.0,0,0
17,0,57,2.0,0.258,22.258,1.316,1.0,1.0,0,0
17,0,54,1.774,0.497,24.8,2.219,0.968,0.968,0,0
17,0,51,1.571,0.573,27.867,5.947,0.871,0.968,0,0
17,0,48,0.533,0.73,31.923,4.291,0.387,0.419,0,0
17,0,45,0.032,0.18,33.0,0.0,0.032,0.032,0,0
17,0,42,0.0,0.0,,,0.0,0.0,0,0
17,0,39,0.0,0.0,,,0.0,0.0,0,0
17,0,36,0.0,0.0,,,0.0,0.0,0,0
17,0,33,0.0,0.0,,,0.0,0.0,0,0
17,0,30,0.0,0.0,,,0.0,0.0,0,0
18,0,87,3.935,0.25,15.903,0.597,1.0,1.0,0,0
18,0,84,3.742,0.445,16.129,0.718,1.0,1.0,0,0
18,0,81,3.419,0.502,16.516,0.508,1.0,1.0,0,0
18,0,78,3.032,0.315,17.065,0.68,1.0,1.0,0,0
18,0,75,2.806,0.402,17.806,0.749,1.0,1.0,0,0
18,0,72,2.548,0.506,18.161,0.898,1.0,1.0,0,0
18,0,69,2.129,0.499,18.871,0.763,1.0,1.0,0,0
18,0,66,2.065,0.25,19.71,1.006,1.0,1.0,0,0
18,0,63,1.839,0.454,21.0,1.483,1.0,1.0,0,0
18,0,60,1.387,0.495,22.71,1.442,1.0,1.0,0,0
18,0,57,1.129,0.341,24.161,1.846,1.0,1.0,0,0
18,0,54,0.871,0.428,26.308,2.71,0.839,0.839,0,0
18,0,51,0.161,0.374,26.8,2.588,0.161,0.161,0,0
18,0,48,0.0,0.0,,,0.0,0.0,0,0
18,0,45,0.0,0.0,,,0.0,0.0,0,0
18,0,42,0.0,0.0,,,0.0,0.0,0,0
18,0,39,0.0,0.0,,,0.0,0.0,0,0
18,0,36,0.0,0.0,,,0.0,0.0,0,0
18,0,33,0.0,0.0,,,0.0,0.0,0,0
18,0,30,0.0,0.0,,,0.0,0.0,0,0
19,0,87,6.903,0.301,15.226,0.425,1.0,1.0,0,0
19,0,84,6.71,0.461,15.452,0.568,1.0,1.0,0,0
19,0,81,6.065,0.25,15.774,0.617,1.0,1.0,0,0
19,0,78,6.097,0.301,16.097,0.473,1.0,1.0,0,0
19,0,75,6.0,0.0,16.581,0.72,1.0,1.0,0,0
19,0,72,5.806,0.543,17.194,0.654,1.0,1.0,0,0
19,0,69,5.29,0.588,17.613,0.667,1.0,1.0,0,0
19,0,66,4.516,0.57,18.516,0.626,1.0,1.0,0,0
19,0,63,4.065,0.25,19.129,0.67,1.0,1.0,0,0
19,0,60,3.903,0.301,19.968,0.875,1.0,1.0,0,0
19,0,57,3.516,0.508,21.581,1.148,1.0,1.0,0,0
19,0,54,3.29,0.461,22.387,1.334,1.0,1.0,0,0
19,0,51,3.0,0.258,24.484,2.234,1.0,1.0,0,0
19,0,48,3.032,0.18,27.0,3.327,1.0,1.0,0,0
19,0,45,2.742,0.514,30.548,3.213,1.0,1.0,0,0
19,0,42,1.742,0.773,36.633,3.873,0.968,0.968,0,0
19,0,39,0.621,0.775,42.133,6.707,0.419,0.484,0,0
19,0,36,0.0,0.0,,,0.0,0.0,0,0
19,0,33,0.0,0.0,,,0.0,0.0,0,0
19,0,30,0.0,0.0,,,0.0,0.0,0,0
20,0,87,4.903,0.301,15.355,0.486,1.0,1.0,0,0
20,0,84,4.742,0.445,15.742,0.514,1.0,1.0,0,0
20,0,81,4.29,0.461,16.065,0.574,1.0,1.0,0,0
20,0,78,4.161,0.374,16.548,0.675,1.0,1.0,0,0
20,0,75,4.032,0.315,17.097,0.539,1.0,1.0,0,0
20,0,72,3.742,0.445,17.839,1.036,1.0,1.0,0,0
20,0,69,3.484,0.508,18.323,0.599,1.0,1.0,0,0
20,0,66,3.258,0.445,19.161,1.003,1.0,1.0,0,0
20,0,63,2.935,0.359,20.258,1.341,1.0,1.0,0,0
20,0,60,2.484,0.508,21.71,0.902,1.0,1.0,0,0
20,0,57,2.097,0.301,22.806,1.376,1.0,1.0,0,0
20,0,54,2.0,0.0,24.839,1.594,1.0,1.0,0,0
20,0,51,1.935,0.25,28.839,3.446,1.0,1.0,0,0
20,0,48,0.897,0.817,36.5,6.083,0.581,0.645,0,0
20,0,45,0.226,0.617,33.0,4.967,0.129,0.129,0,0
20,0,42,0.0,0.0,,,0.0,0.0,0,0
20,0,39,0.0,0.0,,,0.0,0.0,0,0
20,0,36,0.0,0.0,,,0.0,0.0,0,0
20,0,33,0.0,0.0,,,0.0,0.0,0,0
20,0,30,0.0,0.0,,,0.0,0.0,0,0
21,0,87,3.903,0.301,17.0,0.632,1.0,1.0,0,0
21,0,84,3.581,0.502,16.871,0.67,1.0,1.0,0,0
21,0,81,3.097,0.651,17.742,0.999,1.0,1.0,0,0
21,0,78,2.548,0.675,18.452,0.675,1.0,1.0,0,0
21,0,75,2.065,0.25,19.161,0.86,1.0,1.0,0,0
21,0,72,2.0,0.0,19.871,1.284,1.0,1.0,0,0
21,0,69,1.871,0.341,21.29,1.189,1.0,1.0,0,0
21,0,66,1.71,0.461,22.871,2.109,1.0,1.0,0,0
21,0,63,1.4,0.498,24.935,2.78,0.968,1.0,0,0
21,0,60,0.871,0.341,26.148,2.918,0.871,0.871,0,0
21,0,57,0.323,0.475,27.8,3.19,0.323,0.323,0,0
21,0,54,0.0,0.0,36.0,0.0,0.0,0.032,0,0
